t_ms,raw,subject,gesture
1662350,0,s2,grip
1662360,0,s2,grip
1662370,0,s2,grip
1662380,0,s2,grip
1662390,0,s2,grip
1662400,0,s2,grip
1662410,0,s2,grip
1662420,0,s2,grip
1662430,0,s2,grip
1662440,0,s2,grip
1662450,0,s2,grip
1662460,0,s2,grip
1662470,0,s2,grip
1662480,0,s2,grip
1662490,0,s2,grip
1662500,0,s2,grip
1662510,0,s2,grip
1662520,0,s2,grip
1662530,0,s2,grip
1662540,0,s2,grip
1662550,0,s2,grip
1662560,0,s2,grip
1662570,0,s2,grip
1662580,0,s2,grip
1662590,0,s2,grip
1662600,0,s2,grip
1662610,0,s2,grip
1662620,0,s2,grip
1662630,0,s2,grip
1662640,0,s2,grip
1662650,0,s2,grip
1662660,0,s2,grip
1662670,0,s2,grip
1662680,0,s2,grip
1662690,0,s2,grip
1662700,0,s2,grip
1662710,0,s2,grip
1662720,0,s2,grip
1662730,0,s2,grip
1662740,0,s2,grip
1662750,0,s2,grip
1662760,0,s2,grip
1662770,0,s2,grip
1662780,0,s2,grip
1662790,0,s2,grip
1662800,0,s2,grip
1662810,0,s2,grip
1662820,0,s2,grip
1662830,0,s2,grip
1662840,0,s2,grip
1662850,0,s2,grip
1662860,0,s2,grip
1662870,0,s2,grip
1662880,0,s2,grip
1662890,0,s2,grip
1662900,0,s2,grip
1662910,0,s2,grip
1662920,0,s2,grip
1662930,0,s2,grip
1662940,0,s2,grip
1662950,0,s2,grip
1662960,0,s2,grip
1662970,0,s2,grip
1662980,0,s2,grip
1662990,0,s2,grip
1663000,0,s2,grip
1663010,0,s2,grip
1663020,0,s2,grip
1663030,0,s2,grip
1663040,0,s2,grip
1663050,0,s2,grip
1663060,0,s2,grip
1663070,0,s2,grip
1663080,0,s2,grip
1663090,0,s2,grip
1663100,0,s2,grip
1663110,0,s2,grip
1663120,0,s2,grip
1663130,0,s2,grip
1663140,0,s2,grip
1663150,0,s2,grip
1663160,0,s2,grip
1663170,0,s2,grip
1663180,0,s2,grip
1663190,0,s2,grip
1663200,0,s2,grip
1663210,0,s2,grip
1663220,0,s2,grip
1663230,0,s2,grip
1663240,0,s2,grip
1663250,0,s2,grip
1663260,0,s2,grip
1663270,0,s2,grip
1663280,0,s2,grip
1663290,0,s2,grip
1663300,0,s2,grip
1663310,0,s2,grip
1663320,0,s2,grip
1663330,0,s2,grip
1663340,0,s2,grip
1663350,0,s2,grip
1663360,0,s2,grip
1663370,0,s2,grip
1663380,0,s2,grip
1663390,0,s2,grip
1663400,0,s2,grip
1663410,0,s2,grip
1663420,0,s2,grip
1663430,0,s2,grip
1663440,0,s2,grip
1663450,0,s2,grip
1663460,0,s2,grip
1663470,0,s2,grip
1663480,0,s2,grip
1663490,0,s2,grip
1663500,0,s2,grip
1663510,0,s2,grip
1663520,0,s2,grip
1663530,0,s2,grip
1663540,0,s2,grip
1663550,0,s2,grip
1663560,0,s2,grip
1663570,0,s2,grip
1663580,0,s2,grip
1663590,0,s2,grip
1663600,0,s2,grip
1663610,0,s2,grip
1663620,0,s2,grip
1663630,0,s2,grip
1663640,0,s2,grip
1663650,0,s2,grip
1663660,0,s2,grip
1663670,0,s2,grip
1663680,0,s2,grip
1663690,0,s2,grip
1663700,0,s2,grip
1663710,0,s2,grip
1663720,0,s2,grip
1663730,0,s2,grip
1663740,0,s2,grip
1663750,0,s2,grip
1663760,0,s2,grip
1663770,0,s2,grip
1663780,0,s2,grip
1663790,0,s2,grip
1663800,0,s2,grip
1663810,0,s2,grip
1663820,0,s2,grip
1663830,0,s2,grip
1663840,0,s2,grip
1663850,0,s2,grip
1663860,0,s2,grip
1663870,0,s2,grip
1663880,0,s2,grip
1663890,0,s2,grip
1663900,0,s2,grip
1663910,0,s2,grip
1663920,0,s2,grip
1663930,0,s2,grip
1663940,0,s2,grip
1663950,0,s2,grip
1663960,0,s2,grip
1663970,0,s2,grip
1663980,0,s2,grip
1663990,0,s2,grip
1664000,0,s2,grip
1664010,0,s2,grip
