t_ms,raw,subject,gesture
2407670,0,s4,rest
2407680,0,s4,rest
2407690,0,s4,rest
2407700,0,s4,rest
2407710,0,s4,rest
2407720,0,s4,rest
2407730,0,s4,rest
2407740,0,s4,rest
2407750,0,s4,rest
2407760,0,s4,rest
2407770,0,s4,rest
2407780,0,s4,rest
2407790,0,s4,rest
2407800,0,s4,rest
2407810,0,s4,rest
2407820,0,s4,rest
2407830,0,s4,rest
2407840,0,s4,rest
2407850,0,s4,rest
2407860,0,s4,rest
2407870,0,s4,rest
2407880,0,s4,rest
2407890,0,s4,rest
2407900,0,s4,rest
2407910,0,s4,rest
2407920,0,s4,rest
2407930,0,s4,rest
2407940,0,s4,rest
2407950,0,s4,rest
2407960,0,s4,rest
2407970,0,s4,rest
2407980,0,s4,rest
2407990,0,s4,rest
2408000,0,s4,rest
2408010,0,s4,rest
2408020,0,s4,rest
2408030,0,s4,rest
2408040,0,s4,rest
2408050,0,s4,rest
2408060,0,s4,rest
2408070,0,s4,rest
2408080,0,s4,rest
2408090,0,s4,rest
2408100,0,s4,rest
2408110,0,s4,rest
2408120,0,s4,rest
2408130,0,s4,rest
2408140,0,s4,rest
2408150,0,s4,rest
2408160,0,s4,rest
2408170,0,s4,rest
2408180,0,s4,rest
2408190,0,s4,rest
2408200,0,s4,rest
2408210,0,s4,rest
2408220,0,s4,rest
2408230,0,s4,rest
2408240,0,s4,rest
2408250,0,s4,rest
2408260,0,s4,rest
2408270,0,s4,rest
2408280,0,s4,rest
2408290,0,s4,rest
2408300,0,s4,rest
2408310,0,s4,rest
2408320,0,s4,rest
2408330,0,s4,rest
2408340,0,s4,rest
2408350,0,s4,rest
2408360,0,s4,rest
2408370,0,s4,rest
2408380,0,s4,rest
2408390,0,s4,rest
2408400,0,s4,rest
2408410,0,s4,rest
2408420,0,s4,rest
2408430,0,s4,rest
2408440,0,s4,rest
2408450,0,s4,rest
2408460,0,s4,rest
2408470,0,s4,rest
2408480,0,s4,rest
2408490,0,s4,rest
2408500,0,s4,rest
2408510,0,s4,rest
2408520,0,s4,rest
2408530,0,s4,rest
2408540,0,s4,rest
2408550,0,s4,rest
2408560,0,s4,rest
2408570,0,s4,rest
2408580,0,s4,rest
2408590,0,s4,rest
2408600,0,s4,rest
2408610,0,s4,rest
2408620,0,s4,rest
2408630,0,s4,rest
2408640,0,s4,rest
2408650,0,s4,rest
2408660,0,s4,rest
2408670,0,s4,rest
2408680,0,s4,rest
2408690,0,s4,rest
2408700,0,s4,rest
2408710,0,s4,rest
2408720,0,s4,rest
2408730,0,s4,rest
2408740,0,s4,rest
2408750,0,s4,rest
2408760,0,s4,rest
2408770,0,s4,rest
2408780,0,s4,rest
2408790,0,s4,rest
2408800,0,s4,rest
2408810,0,s4,rest
2408820,0,s4,rest
2408830,0,s4,rest
2408840,0,s4,rest
2408850,0,s4,rest
2408860,0,s4,rest
2408870,0,s4,rest
2408880,0,s4,rest
2408890,0,s4,rest
2408900,0,s4,rest
2408910,0,s4,rest
2408920,0,s4,rest
2408930,0,s4,rest
2408940,0,s4,rest
2408950,0,s4,rest
2408960,0,s4,rest
2408970,0,s4,rest
2408980,0,s4,rest
2408990,0,s4,rest
2409000,0,s4,rest
2409010,0,s4,rest
2409020,0,s4,rest
2409030,0,s4,rest
2409040,0,s4,rest
2409050,0,s4,rest
2409060,0,s4,rest
2409070,0,s4,rest
2409080,0,s4,rest
2409090,0,s4,rest
2409100,0,s4,rest
2409110,0,s4,rest
2409120,0,s4,rest
2409130,0,s4,rest
2409140,0,s4,rest
2409150,0,s4,rest
2409160,0,s4,rest
2409170,0,s4,rest
2409180,0,s4,rest
2409190,0,s4,rest
2409200,0,s4,rest
