t_ms,raw,subject,gesture
10178604,1744,s1,grip_sustained10s
10178606,1729,s1,grip_sustained10s
10178608,1709,s1,grip_sustained10s
10178610,1727,s1,grip_sustained10s
10178612,1743,s1,grip_sustained10s
10178614,1735,s1,grip_sustained10s
10178616,1702,s1,grip_sustained10s
10178618,1741,s1,grip_sustained10s
10178620,1737,s1,grip_sustained10s
10178622,1743,s1,grip_sustained10s
10178624,1702,s1,grip_sustained10s
10178626,1744,s1,grip_sustained10s
10178628,1727,s1,grip_sustained10s
10178630,1744,s1,grip_sustained10s
10178632,1703,s1,grip_sustained10s
10178634,1744,s1,grip_sustained10s
10178636,1719,s1,grip_sustained10s
10178638,1748,s1,grip_sustained10s
10178640,1717,s1,grip_sustained10s
10178642,1742,s1,grip_sustained10s
10178644,1713,s1,grip_sustained10s
10178646,1745,s1,grip_sustained10s
10178648,1715,s1,grip_sustained10s
10178650,1715,s1,grip_sustained10s
10178652,1712,s1,grip_sustained10s
10178654,1746,s1,grip_sustained10s
10178656,1730,s1,grip_sustained10s
10178658,1712,s1,grip_sustained10s
10178660,1728,s1,grip_sustained10s
10178662,1741,s1,grip_sustained10s
10178664,1734,s1,grip_sustained10s
10178666,1696,s1,grip_sustained10s
10178668,1730,s1,grip_sustained10s
10178670,1728,s1,grip_sustained10s
10178672,1739,s1,grip_sustained10s
10178674,1695,s1,grip_sustained10s
10178676,1744,s1,grip_sustained10s
10178678,1719,s1,grip_sustained10s
10178680,1741,s1,grip_sustained10s
10178682,1699,s1,grip_sustained10s
10178684,1740,s1,grip_sustained10s
10178686,1712,s1,grip_sustained10s
10178688,1744,s1,grip_sustained10s
10178690,1709,s1,grip_sustained10s
10178692,1723,s1,grip_sustained10s
10178694,1712,s1,grip_sustained10s
10178696,1743,s1,grip_sustained10s
10178698,1713,s1,grip_sustained10s
10178700,1710,s1,grip_sustained10s
10178702,1711,s1,grip_sustained10s
10178704,1743,s1,grip_sustained10s
10178706,1728,s1,grip_sustained10s
10178708,1703,s1,grip_sustained10s
10178710,1719,s1,grip_sustained10s
10178712,1734,s1,grip_sustained10s
10178714,1728,s1,grip_sustained10s
10178716,1694,s1,grip_sustained10s
10178718,1732,s1,grip_sustained10s
10178720,1730,s1,grip_sustained10s
10178722,1738,s1,grip_sustained10s
10178724,1695,s1,grip_sustained10s
10178726,1744,s1,grip_sustained10s
10178728,1725,s1,grip_sustained10s
10178730,1744,s1,grip_sustained10s
10178732,1703,s1,grip_sustained10s
10178734,1744,s1,grip_sustained10s
10178736,1717,s1,grip_sustained10s
10178738,1751,s1,grip_sustained10s
10178740,1717,s1,grip_sustained10s
10178742,1730,s1,grip_sustained10s
10178744,1712,s1,grip_sustained10s
10178746,1746,s1,grip_sustained10s
10178748,1719,s1,grip_sustained10s
10178750,1717,s1,grip_sustained10s
10178752,1712,s1,grip_sustained10s
10178754,1745,s1,grip_sustained10s
10178756,1734,s1,grip_sustained10s
10178758,1710,s1,grip_sustained10s
10178760,1725,s1,grip_sustained10s
10178762,1735,s1,grip_sustained10s
10178764,1734,s1,grip_sustained10s
10178766,1699,s1,grip_sustained10s
10178768,1737,s1,grip_sustained10s
10178770,1732,s1,grip_sustained10s
10178772,1744,s1,grip_sustained10s
10178774,1695,s1,grip_sustained10s
10178776,1745,s1,grip_sustained10s
10178778,1726,s1,grip_sustained10s
10178780,1745,s1,grip_sustained10s
10178782,1711,s1,grip_sustained10s
10178784,1744,s1,grip_sustained10s
