t_ms,raw,subject,gesture
10573742,2318,s1,grip_v7
10573744,2327,s1,grip_v7
10573746,2319,s1,grip_v7
10573748,2349,s1,grip_v7
10573750,2285,s1,grip_v7
10573752,2272,s1,grip_v7
10573754,2249,s1,grip_v7
10573756,2313,s1,grip_v7
10573758,2285,s1,grip_v7
10573760,2217,s1,grip_v7
10573762,2162,s1,grip_v7
10573764,2181,s1,grip_v7
10573766,2110,s1,grip_v7
10573768,2065,s1,grip_v7
10573770,2141,s1,grip_v7
10573772,2177,s1,grip_v7
10573774,2231,s1,grip_v7
10573776,2181,s1,grip_v7
10573778,2186,s1,grip_v7
10573780,2265,s1,grip_v7
10573782,2246,s1,grip_v7
10573784,2245,s1,grip_v7
10573786,2305,s1,grip_v7
10573788,2259,s1,grip_v7
10573790,2246,s1,grip_v7
10573792,2294,s1,grip_v7
10573794,2272,s1,grip_v7
10573796,2288,s1,grip_v7
10573798,2338,s1,grip_v7
10573800,2273,s1,grip_v7
10573802,2225,s1,grip_v7
10573804,2277,s1,grip_v7
10573806,2543,s1,grip_v7
10573808,2629,s1,grip_v7
10573810,2522,s1,grip_v7
10573812,2458,s1,grip_v7
10573814,2431,s1,grip_v7
10573816,2369,s1,grip_v7
10573818,2515,s1,grip_v7
10573820,2684,s1,grip_v7
10573822,2715,s1,grip_v7
10573824,2786,s1,grip_v7
10573826,2776,s1,grip_v7
10573828,2913,s1,grip_v7
10573830,2894,s1,grip_v7
10573832,3029,s1,grip_v7
10573834,3265,s1,grip_v7
10573836,3447,s1,grip_v7
10573838,3461,s1,grip_v7
10573840,3663,s1,grip_v7
10573842,3652,s1,grip_v7
10573844,3515,s1,grip_v7
10573846,3361,s1,grip_v7
10573848,3310,s1,grip_v7
10573850,3152,s1,grip_v7
10573852,3255,s1,grip_v7
10573854,3219,s1,grip_v7
10573856,3250,s1,grip_v7
10573858,3152,s1,grip_v7
10573860,3050,s1,grip_v7
10573862,3083,s1,grip_v7
10573864,2944,s1,grip_v7
10573866,2896,s1,grip_v7
10573868,2958,s1,grip_v7
10573870,2969,s1,grip_v7
10573872,2907,s1,grip_v7
10573874,2957,s1,grip_v7
10573876,3099,s1,grip_v7
10573878,3263,s1,grip_v7
10573880,3184,s1,grip_v7
10573882,3216,s1,grip_v7
10573884,3120,s1,grip_v7
10573886,3250,s1,grip_v7
10573888,3226,s1,grip_v7
10573890,3200,s1,grip_v7
10573892,3245,s1,grip_v7
10573894,3373,s1,grip_v7
10573896,3331,s1,grip_v7
10573898,3441,s1,grip_v7
10573900,3341,s1,grip_v7
10573902,3261,s1,grip_v7
10573904,3261,s1,grip_v7
10573906,3248,s1,grip_v7
10573908,3177,s1,grip_v7
10573910,3219,s1,grip_v7
10573912,3166,s1,grip_v7
10573914,3133,s1,grip_v7
10573916,2986,s1,grip_v7
10573918,2913,s1,grip_v7
10573920,3019,s1,grip_v7
10573922,2944,s1,grip_v7
10573924,2960,s1,grip_v7
10573926,2990,s1,grip_v7
10573928,2899,s1,grip_v7
10573930,2782,s1,grip_v7
10573932,2694,s1,grip_v7
10573934,2672,s1,grip_v7
10573936,2821,s1,grip_v7
10573938,2773,s1,grip_v7
10573940,2689,s1,grip_v7
10573942,2618,s1,grip_v7
10573944,2657,s1,grip_v7
10573946,2659,s1,grip_v7
10573948,2636,s1,grip_v7
10573950,2559,s1,grip_v7
10573952,2512,s1,grip_v7
10573954,2423,s1,grip_v7
10573956,2512,s1,grip_v7
10573958,2513,s1,grip_v7
10573960,2496,s1,grip_v7
10573962,2463,s1,grip_v7
10573964,2592,s1,grip_v7
10573966,2800,s1,grip_v7
10573968,2930,s1,grip_v7
10573970,2992,s1,grip_v7
10573972,3194,s1,grip_v7
10573974,3351,s1,grip_v7
10573976,3200,s1,grip_v7
10573978,3264,s1,grip_v7
10573980,3209,s1,grip_v7
10573982,3226,s1,grip_v7
10573984,3137,s1,grip_v7
10573986,3184,s1,grip_v7
10573988,3125,s1,grip_v7
10573990,3205,s1,grip_v7
10573992,3186,s1,grip_v7
10573994,3071,s1,grip_v7
10573996,2970,s1,grip_v7
10573998,3013,s1,grip_v7
10574000,3057,s1,grip_v7
10574002,3089,s1,grip_v7
10574004,3037,s1,grip_v7
10574006,3152,s1,grip_v7
10574008,3168,s1,grip_v7
10574010,3039,s1,grip_v7
10574012,2943,s1,grip_v7
10574014,2891,s1,grip_v7
10574016,2927,s1,grip_v7
10574018,3042,s1,grip_v7
10574020,3093,s1,grip_v7
10574022,2987,s1,grip_v7
10574024,2951,s1,grip_v7
10574026,3207,s1,grip_v7
10574028,3424,s1,grip_v7
10574030,3319,s1,grip_v7
10574032,3381,s1,grip_v7
10574034,3326,s1,grip_v7
10574036,3346,s1,grip_v7
