t_ms,raw,subject,gesture
10550374,2237,s1,rest_v7
10550376,2193,s1,rest_v7
10550378,2251,s1,rest_v7
10550380,2211,s1,rest_v7
10550382,2235,s1,rest_v7
10550384,2199,s1,rest_v7
10550386,2230,s1,rest_v7
10550388,2213,s1,rest_v7
10550390,2231,s1,rest_v7
10550392,2210,s1,rest_v7
10550394,2211,s1,rest_v7
10550396,2221,s1,rest_v7
10550398,2234,s1,rest_v7
10550400,2220,s1,rest_v7
10550402,2198,s1,rest_v7
10550404,2232,s1,rest_v7
10550406,2226,s1,rest_v7
10550408,2231,s1,rest_v7
10550410,2190,s1,rest_v7
10550412,2239,s1,rest_v7
10550414,2223,s1,rest_v7
10550416,2232,s1,rest_v7
10550418,2183,s1,rest_v7
10550420,2244,s1,rest_v7
10550422,2219,s1,rest_v7
10550424,2240,s1,rest_v7
10550426,2192,s1,rest_v7
10550428,2246,s1,rest_v7
10550430,2210,s1,rest_v7
10550432,2234,s1,rest_v7
10550434,2198,s1,rest_v7
10550436,2224,s1,rest_v7
10550438,2211,s1,rest_v7
10550440,2235,s1,rest_v7
10550442,2209,s1,rest_v7
10550444,2210,s1,rest_v7
10550446,2213,s1,rest_v7
10550448,2229,s1,rest_v7
10550450,2213,s1,rest_v7
10550452,2192,s1,rest_v7
10550454,2231,s1,rest_v7
10550456,2227,s1,rest_v7
10550458,2224,s1,rest_v7
10550460,2185,s1,rest_v7
10550462,2241,s1,rest_v7
10550464,2218,s1,rest_v7
10550466,2230,s1,rest_v7
10550468,2180,s1,rest_v7
10550470,2249,s1,rest_v7
10550472,2212,s1,rest_v7
10550474,2236,s1,rest_v7
10550476,2192,s1,rest_v7
10550478,2251,s1,rest_v7
10550480,2213,s1,rest_v7
10550482,2240,s1,rest_v7
10550484,2197,s1,rest_v7
10550486,2229,s1,rest_v7
10550488,2210,s1,rest_v7
10550490,2241,s1,rest_v7
10550492,2212,s1,rest_v7
10550494,2209,s1,rest_v7
10550496,2218,s1,rest_v7
10550498,2234,s1,rest_v7
10550500,2219,s1,rest_v7
10550502,2193,s1,rest_v7
10550504,2233,s1,rest_v7
10550506,2224,s1,rest_v7
10550508,2225,s1,rest_v7
